TIP_In2020,ID Number,Control Number,Project Title,Lead Agency,Project Type,Year,Funding Category,FedAmount,StateAmount,LocalAmount,TotAmount,Funding Source
TRUE,139,TA00450,Rio Metro - Los Lunas Small Urban Transit Services (FY 2024 Alloc),Rio Metro Transit Dist,Transit,2024,FTA 5339 (Sm Urb Bus/Facil),"101,877.00",0.00,"25,469.25","127,346.25",Federal Transit
TRUE,139.1000061,TA00451,Rio Metro - Los Lunas Small Urban Transit Services (FY 2025 Alloc),Rio Metro Transit Dist,Transit,2025,FTA 5339 (Sm Urb Bus/Facil),"103,915.00",0.00,"25,978.75","129,893.75",Federal Transit
TRUE,145,A302290,Valencia County Transit Facility,Rio Metro Transit Dist,Transit,2020,FTA 5339 (Sm Urb Bus/Facil),"5,984,955.00",0.00,"1,496,238.75","7,481,193.75",Federal Transit
TRUE,70.09999847,A301570,NM 347 Paseo del Volcan ROW Acquisition,NMDOT ROW Bureau,Capacity Proj,2021,HB2 Section 9,0.00,"3,000,000.00",0.00,"3,000,000.00",State
TRUE,256.1000061,TA00411,NMRX Positive Train Control,Rio Metro NMRRX,Transit,2020,HB2 Section 9,0.00,"2,000,000.00",0.00,"2,000,000.00",State
TRUE,359.2999878,A302121,I-40 Pavement Preservation (Bernalillo and Santa Fe County Line),NMDOT D-3,Hwy & Brg Pres,2023,HB2 Section 9,0.00,"4,200,000.00",0.00,"4,200,000.00",State
TRUE,537.2999878,A300961,Los Lunas I-25 Interchange and E-W Corridor,Village of Los Lunas,Capacity Proj,2020,HB2 Section 9,0.00,"5,000,000.00",0.00,"5,000,000.00",State
TRUE,537.2999878,A300961,Los Lunas I-25 Interchange and E-W Corridor,Village of Los Lunas,Capacity Proj,2021,HB2 Section 9,0.00,"15,200,000.00",0.00,"15,200,000.00",State
TRUE,537.2999878,A300961,Los Lunas I-25 Interchange and E-W Corridor,Village of Los Lunas,Capacity Proj,2022,HB2 Section 9,0.00,"50,000,000.00",0.00,"50,000,000.00",State
TRUE,493.3999939,A300381,NM 528 Rio Rancho Blvd Improvements (Upper Section),NMDOT CRDC,Capacity Proj,2020,HPP RPS0,"240,000.00","60,000.00",0.00,"300,000.00",Federal Sp Prog 1
TRUE,493.3999939,A300381,NM 528 Rio Rancho Blvd Improvements (Upper Section),NMDOT CRDC,Capacity Proj,2020,HPP RPS0,"1,396,404.00","349,101.00",0.00,"1,745,505.00",Federal Sp Prog 1
TRUE,23.20000076,A302301,New project,County of Bernalillo,Capacity Proj,2022,Local Bond Funds,0.00,0.00,0.00,0.00,Local
TRUE,23.20000076,A302301,New project,County of Bernalillo,Capacity Proj,2024,Local Bond Funds,0.00,0.00,0.00,0.00,Local
TRUE,24.5,A301034,Alameda Drain Trail COA-Phase 5,City of Albuquerque-P&R,Bike/Ped,2023,Local Bond Funds,0.00,0.00,"600,000.00","600,000.00",Local
TRUE,109.0999985,A302231,Innovation Trail Phase 2,City of Albuquerque-MRA,Bike/Ped,2021,Local Bond Funds,0.00,0.00,"1,500,000.00","1,500,000.00",Local
TRUE,109.1999969,A302232,Innovation Trail Phase 3,City of Albuquerque-MRA,Bike/Ped,2022,Local Bond Funds,0.00,0.00,"1,500,000.00","1,500,000.00",Local
TRUE,109.3000031,A302233,South Broadway Pedestrian Bridge,City of Albuquerque-MRA,Bike/Ped,2023,Local Bond Funds,0.00,0.00,"1,500,000.00","1,500,000.00",Local
TRUE,334.1000061,A300541,El Pueblo and Channel Road New intersection and Signal,City of Albuquerque-DMD,Capacity Proj,2021,Local Bond Funds,0.00,0.00,"500,000.00","500,000.00",Local
TRUE,394.2000122,A301212,University and Lomas Intersection Reconstruction,City of Albuquerque-DMD,Hwy & Brg Pres,2022,Local Bond Funds,0.00,0.00,"2,000,000.00","2,000,000.00",Local
TRUE,508.3999939,A301053,Westside Blvd Phase 2 Quality of Life Improvements,City of Albuquerque-DMD,Misc,2022,Local Bond Funds,0.00,0.00,"2,500,000.00","2,500,000.00",Local
TRUE,585.4000244,A300261,Paseo del Norte Widening,City of Albuquerque-DMD,Capacity Proj,2021,Local Bond Funds,0.00,0.00,"1,421,014.00","1,421,014.00",Local
TRUE,636.0999756,A300659,Zuni Road ADA Improvements,City of Albuquerque-DMD,Bike/Ped,2020,Local Bond Funds,0.00,0.00,"800,000.00","800,000.00",Local
TRUE,661.0999756,A301591,Wyoming and Menaul Intersection and Signal Improvements,City of Albuquerque-DMD,Safety,2021,Local Bond Funds,0.00,0.00,"2,000,000.00","2,000,000.00",Local
TRUE,892,A302334,West Central Complete Streets: 90th to 106th,City of Albuquerque-DMD,Misc,2023,Local Bond Funds,0.00,0.00,"750,000.00","750,000.00",Local
TRUE,950,A301631,Marquette Railroad Crossing,City of Albuquerque-DMD,Misc,2021,Local Bond Funds,0.00,0.00,"3,000,000.00","3,000,000.00",Local
TRUE,9.5,A301045,Southern Blvd Rehabilitation Improvements,City of Rio Rancho,Hwy & Brg Pres,2020,Local Gov. Trans Proj Fund,0.00,"760,000.00",0.00,"760,000.00",State
TRUE,134.8999939,TA00269,Commuter Rail Maint of Eqiup & Way & Transit Oper,Rio Metro NMRRX,Transit,2020,Local Gov. Trans Proj Fund,0.00,"510,150.00",0.00,"510,150.00",State
TRUE,380.2999878,A301321,Unser Blvd Widening (Phase 2B),City of Rio Rancho,Capacity Proj,2020,Local Gov. Trans Proj Fund,0.00,"1,662,500.00",0.00,"1,662,500.00",State
TRUE,9.5,A301045,Southern Blvd Rehabilitation Improvements,City of Rio Rancho,Hwy & Brg Pres,2020,Local Gov. Trans Proj Fund Match,0.00,0.00,"40,000.00","40,000.00",Local
TRUE,134.8999939,TA00269,Commuter Rail Maint of Eqiup & Way & Transit Oper,Rio Metro NMRRX,Transit,2020,Local Gov. Trans Proj Fund Match,0.00,0.00,"26,850.00","26,850.00",Local
TRUE,380.2999878,A301321,Unser Blvd Widening (Phase 2B),City of Rio Rancho,Capacity Proj,2020,Local Gov. Trans Proj Fund Match,0.00,0.00,"87,500.00","87,500.00",Local
TRUE,258.1000061,A302151,4th St Revitalization Phase 2,Village of Los Ranchos de Albuquerque,Bike/Ped,2020,Local Match for State $,0.00,0.00,"25,404.00","25,404.00",Local
TRUE,24.20000076,A301031,Alameda DrainTrail Phase 2,County of Bernalillo,Bike/Ped,2020,Local Non-Match,0.00,0.00,"319,482.00","319,482.00",Local
TRUE,24.29999924,A301032,Alameda Drain/2nd Street Bike/Ped Trail Ph 3,City of Albuquerque-P&R,Bike/Ped,2021,Local Non-Match,0.00,0.00,"2,516,000.00","2,516,000.00",Local
TRUE,66.40000153,A301062,Central Avenue at Nob Hill Safety Improvements,City of Albuquerque-DMD,Safety,2021,Local Non-Match,0.00,0.00,"1,000,000.00","1,000,000.00",Local
TRUE,66.5,A301063,Central Avenue Improvements (Louisiana - Wyoming),City of Albuquerque-DMD,Misc,2021,Local Non-Match,0.00,0.00,"1,800,000.00","1,800,000.00",Local
TRUE,66.59999847,A301064,Central Avenue Improvements (Eubank - Tramway),City of Albuquerque-DMD,Misc,2021,Local Non-Match,0.00,0.00,"1,000,000.00","1,000,000.00",Local
TRUE,474.2999878,A301501,98th St.& Gibson Blvd. Intersection Improvements,City of Albuquerque-DMD,Safety,2022,Local Non-Match,0.00,0.00,0.00,0.00,Local
TRUE,537.2999878,A300961,Los Lunas I-25 Interchange and E-W Corridor,Village of Los Lunas,Capacity Proj,2020,Local Non-Match,0.00,0.00,"1,000,000.00","1,000,000.00",Local
TRUE,585.4000244,A300261,Paseo del Norte Widening,City of Albuquerque-DMD,Capacity Proj,2021,Local Non-Match,0.00,0.00,"12,000,000.00","12,000,000.00",Local
TRUE,721,A301920,Volcano Heights Transit Blvd. Construction,City of Albuquerque-DMD,Transit,2021,Local Non-Match,0.00,0.00,"500,000.00","500,000.00",Local
TRUE,872.5,A300505,Bridge Blvd Reconstruction Phase 3,County of Bernalillo,Hwy & Brg Pres,2021,Local Non-Match,0.00,0.00,"237,018.00","237,018.00",Local
TRUE,888,A302330,Wyoming Boulevard Complete Streets,City of Albuquerque-DMD,Misc,2021,Local Non-Match,0.00,0.00,"2,000,000.00","2,000,000.00",Local
TRUE,890,A302332,Rio Grande Complete Streets,City of Albuquerque-DMD,Misc,2021,Local Non-Match,0.00,0.00,"1,000,000.00","1,000,000.00",Local
TRUE,891,A302333,San Pedro Complete Streets,City of Albuquerque-DMD,Misc,2021,Local Non-Match,0.00,0.00,"3,800,000.00","3,800,000.00",Local
TRUE,896,A302340,Tierra Pintada and Mirehaven Roundabout,City of Albuquerque-DMD,Safety,2021,Local Non-Match,0.00,0.00,"3,500,000.00","3,500,000.00",Local
TRUE,897,A302350,Cutler Avenue Improvements,City of Albuquerque-DMD,Misc,2021,Local Non-Match,0.00,0.00,"2,300,000.00","2,300,000.00",Local
TRUE,920.2999878,A301473,Alameda Improvements from Barstow to Ventura,City of Albuquerque-DMD,Capacity Proj,2021,Local Non-Match,0.00,0.00,"1,000,000.00","1,000,000.00",Local
TRUE,683,A300849,Albuquerque Complete Streets: West,City of Albuquerque-DMD,Misc,2022,Local Other,0.00,0.00,"1,000,000.00","1,000,000.00",Local
TRUE,737,TA00490,"NMRX Maintenance Facility, Phase 1",Rio Metro NMRRX,Transit,2022,Local Other,0.00,0.00,"2,000,000.00","2,000,000.00",Local
TRUE,825.2999878,A300894,North NM 314 Bike and Pedestrian Improvements Phase II,Village of Los Lunas,Bike/Ped,2022,Local Other,0.00,0.00,"1,000,000.00","1,000,000.00",Local
TRUE,260,A302100,District 3 Pavement Preservation - I-40 West of Coors,NMDOT D-3,Hwy & Brg Pres,2022,NHFP,"12,209,528.00","2,080,649.49",0.00,"14,290,177.49",Federal Hwy
TRUE,6.800000191,A300423,NM 6 Bridge Replacement ( Rio Grande Bridge #7453),NMDOT D-3,Hwy & Brg Pres,2020,NHPP,"6,706,198.00","1,142,816.29",0.00,"7,849,014.29",Federal Hwy
TRUE,91.19999695,A301891,I-25 / Gibson Blvd. Interchange Reconstruction,NMDOT CRDC,Capacity Proj,2024,NHPP,"18,817,107.00","3,206,659.93",0.00,"22,023,766.93",Federal Hwy
TRUE,91.19999695,A301891,I-25 / Gibson Blvd. Interchange Reconstruction,NMDOT CRDC,Capacity Proj,2025,NHPP,"18,817,107.00","3,206,659.93",0.00,"22,023,766.93",Federal Hwy
TRUE,117,A301346,District 3 Bridge Preservation,NMDOT D-3,Hwy & Brg Pres,2021,NHPP,"927,431.00","158,045.33",0.00,"1,085,476.33",Federal Hwy
TRUE,138.5,A301555,NM 6/BNSF Railroad Bridge Preservation,NMDOT D-3,Hwy & Brg Pres,2020,NHPP,"683,849.00",0.00,"116,536.04","800,385.04",Federal Hwy
TRUE,214.1000061,A302201,AMPA Wide Motorist Assistance Courtesy Patrols (FFY 2021-2023),NMDOT D-3,ITS-TSM,2022,NHPP,"427,200.00","72,799.99",0.00,"499,999.99",Federal Hwy
TRUE,214.1000061,A302201,AMPA Wide Motorist Assistance Courtesy Patrols (FFY 2021-2023),NMDOT D-3,ITS-TSM,2023,NHPP,"213,600.00","36,399.99",0.00,"249,999.99",Federal Hwy
TRUE,214.5,A302205,AMPA Wide Motorist Assistance Courtesy Patrols (FFY 2024),NMDOT D-3,ITS-TSM,2024,NHPP,"427,200.00","72,799.99",0.00,"499,999.99",Federal Hwy
TRUE,214.6000061,A302206,AMPA Wide Motorist Assistance Courtesy Patrols (FFY 2025),NMDOT D-3,ITS-TSM,2025,NHPP,"427,200.00","72,799.99",0.00,"499,999.99",Federal Hwy
TRUE,217,A302190,ITS-District 3 Deployment of ITS (FFY 2020),NMDOT D-3,ITS-TSM,2020,NHPP,"2,028,863.00","345,742.50",0.00,"2,374,605.50",Federal Hwy
TRUE,250.6000061,A301901,I-25 Improved: Comanche to Montgomery,NMDOT CRDC,Hwy & Brg Pres,2021,NHPP,"1,708,800.00","291,199.94",0.00,"1,999,999.94",Federal Hwy
TRUE,250.6000061,A301901,I-25 Improved: Comanche to Montgomery,NMDOT CRDC,Hwy & Brg Pres,2021,NHPP,"2,292,247.00","390,626.28",0.00,"2,682,873.28",Federal Hwy
TRUE,250.6000061,A301901,I-25 Improved: Comanche to Montgomery,NMDOT CRDC,Hwy & Brg Pres,2023,NHPP,"811,509.00","138,290.83",0.00,"949,799.83",Federal Hwy
TRUE,260,A302100,District 3 Pavement Preservation - I-40 West of Coors,NMDOT D-3,Hwy & Brg Pres,2021,NHPP,"778,538.00","132,672.18",0.00,"911,210.18",Federal Hwy
TRUE,260,A302100,District 3 Pavement Preservation - I-40 West of Coors,NMDOT D-3,Hwy & Brg Pres,2022,NHPP,"12,929,173.00","2,203,285.60",0.00,"15,132,458.60",Federal Hwy
TRUE,260.2000122,A300425,NM 6 Pavement Preservation West of I-25,NMDOT D-3,Hwy & Brg Pres,2020,NHPP,"568,569.00","96,890.95",0.00,"665,459.95",Federal Hwy
TRUE,260.2000122,A300425,NM 6 Pavement Preservation West of I-25,NMDOT D-3,Hwy & Brg Pres,2021,NHPP,"14,705,654.00","2,506,019.20",0.00,"17,211,673.20",Federal Hwy
TRUE,265.2000122,A302162,I-25 FDR Phase 3,NMDOT D-3,Hwy & Brg Pres,2023,NHPP,"8,417,652.00","1,434,468.51",0.00,"9,852,120.51",Federal Hwy
TRUE,359.2000122,A302120,I-40 Canyon Pavement Rehabilitation,NMDOT D-3,Hwy & Brg Pres,2020,NHPP,"1,036,871.00","176,695.21",0.00,"1,213,566.21",Federal Hwy
TRUE,359.3999939,A302122,I40 Pavement Preservation (canyon),NMDOT D-3,Hwy & Brg Pres,2022,NHPP,"5,887,934.00","1,003,374.32",0.00,"6,891,308.32",Federal Hwy
TRUE,359.3999939,A302122,I40 Pavement Preservation (canyon),NMDOT D-3,Hwy & Brg Pres,2023,NHPP,"8,092,745.00","1,379,100.47",0.00,"9,471,845.47",Federal Hwy
TRUE,493.3999939,A300381,NM 528 Rio Rancho Blvd Improvements (Upper Section),NMDOT CRDC,Capacity Proj,2020,NHPP,"210,233.00","35,826.22",0.00,"246,059.22",Federal Hwy
TRUE,493.3999939,A300381,NM 528 Rio Rancho Blvd Improvements (Upper Section),NMDOT CRDC,Capacity Proj,2020,NHPP,"234,427.00","39,949.16",0.00,"274,376.16",Federal Hwy
TRUE,493.3999939,A300381,NM 528 Rio Rancho Blvd Improvements (Upper Section),NMDOT CRDC,Capacity Proj,2020,NHPP,"376,210.00","64,110.68",0.00,"440,320.68",Federal Hwy
TRUE,493.3999939,A300381,NM 528 Rio Rancho Blvd Improvements (Upper Section),NMDOT CRDC,Capacity Proj,2020,NHPP,"14,125,045.00","2,407,076.48",0.00,"16,532,121.48",Federal Hwy
TRUE,493.3999939,A300381,NM 528 Rio Rancho Blvd Improvements (Upper Section),NMDOT CRDC,Capacity Proj,2021,NHPP,"5,504,492.00","938,031.22",0.00,"6,442,523.22",Federal Hwy
TRUE,117,A301346,District 3 Bridge Preservation,NMDOT D-3,Hwy & Brg Pres,2020,NHPP (Non-Chargeable),"1,173,629.00","200,000.41",0.00,"1,373,629.41",Federal Hwy
TRUE,250.6000061,A301901,I-25 Improved: Comanche to Montgomery,NMDOT CRDC,Hwy & Brg Pres,2023,NHPP (Non-Chargeable),"36,883,300.00",0.00,0.00,"36,883,300.00",Federal Hwy
TRUE,218,A302220,"NM 109, Jarales Rd. Railroad Overpass",NMDOT D-3,Safety,2021,Private,0.00,0.00,"1,585,574.00","1,585,574.00",Private
TRUE,218,A302220,"NM 109, Jarales Rd. Railroad Overpass",NMDOT D-3,Safety,2022,Private,0.00,0.00,"12,914,426.00","12,914,426.00",Private
TRUE,260.2000122,A300425,NM 6 Pavement Preservation West of I-25,NMDOT D-3,Hwy & Brg Pres,2021,Private,0.00,0.00,"542,466.00","542,466.00",Private
TRUE,454.8999939,A302360,Mesa Del Sol Interchange,NMDOT CRDC,Capacity Proj,2021,Private,0.00,0.00,"2,500,000.00","2,500,000.00",Private
TRUE,172,A301780,Railroad Crossing Improv - Avenida Bernalillo and NMRX RR (Crossing 013758J),NMDOT Transit Rail,Safety,2021,Rail Xing Haz Elim (Sect 130),"555,339.00","61,704.33",0.00,"617,043.33",Federal Sp Prog 2
TRUE,172,A301780,Railroad Crossing Improv - Avenida Bernalillo and NMRX RR (Crossing 013758J),NMDOT Transit Rail,Safety,2022,Rail Xing Haz Elim (Sect 130),"125,510.00","13,945.56",0.00,"139,455.56",Federal Sp Prog 2
TRUE,172.1000061,A301781,Railroad Crossing Improv - Lucero Ave and NMRX RR (Crossing 013760D),NMDOT Transit Rail,Safety,2021,Rail Xing Haz Elim (Sect 130),"548,282.00","60,920.22",0.00,"609,202.22",Federal Sp Prog 2
TRUE,172.1999969,A301782,Railroad Crossing Improv - Ortega Rd and NMRX RR (Crossing 013773E),NMDOT Transit Rail,Safety,2020,Rail Xing Haz Elim (Sect 130),"148,500.00","16,500.00",0.00,"165,000.00",Federal Sp Prog 2
TRUE,172.3000031,A301783,Railroad Crossing Improv - 8th Street Albuquerque and NMRX/BNSF RR (Crossing 019679L),NMDOT Transit Rail,Safety,2020,Rail Xing Haz Elim (Sect 130),"157,038.00","17,448.67",0.00,"174,486.67",Federal Sp Prog 2
TRUE,172.6000061,A301786,Railroad Crossing Improv - 8th Street Albuquerque and NMRX/BNSF RR (Crossing 019679L),NMDOT Transit Rail,Safety,2022,Rail Xing Haz Elim (Sect 130),"135,000.00","15,000.00",0.00,"150,000.00",Federal Sp Prog 2
TRUE,254.1000061,A302071,Sandia Trail Improvements,US Forest Service,Bike/Ped,2020,Rec. Trails Prog.,"189,247.00",0.00,"32,249.95","221,496.95",Federal Sp Prog 2
TRUE,921,M300812,North Bernalillo to Budaghers improvement,NMDOT D-3,Hwy & Brg Pres,2021,Road Fund,0.00,"2,000,000.00",0.00,"2,000,000.00",State
TRUE,921.0999756,M300811,I25 Bernalillo area OGFC improvements,NMDOT D-3,Hwy & Brg Pres,2021,Road Fund,0.00,"897,000.00",0.00,"897,000.00",State
TRUE,921.2000122,M300810,South of Jefferson to Tramway pavement preservation,NMDOT D-3,Hwy & Brg Pres,2021,Road Fund,0.00,"5,890,000.00",0.00,"5,890,000.00",State
TRUE,921.2999878,M300809,Gibson to Lomas pavement preservation,NMDOT D-3,Hwy & Brg Pres,2021,Road Fund,0.00,"3,009,000.00",0.00,"3,009,000.00",State
TRUE,921.4000244,M300808,Rio Puerco to Atrisco Vista Pavement pres,NMDOT D-3,Hwy & Brg Pres,2021,Road Fund,0.00,"2,019,000.00",0.00,"2,019,000.00",State
TRUE,82,A301088,"NM 314, NM 45 & NM 317 Intersection Improvements & Realignment",Pueblo of Isleta,Safety,2022,Safety (HSIP),"4,789,000.00","532,111.11",0.00,"5,321,111.11",Federal Sp Prog 2
TRUE,250.5,A300375,I-25 MLK NB Off Ramp Improvements,NMDOT D-3,Safety,2021,Safety (HSIP),"18,000.00","2,000.00",0.00,"20,000.00",Federal Sp Prog 2
TRUE,250.5,A300375,I-25 MLK NB Off Ramp Improvements,NMDOT D-3,Safety,2021,Safety (HSIP),"2,524,842.00","280,538.00",0.00,"2,805,380.00",Federal Sp Prog 2
TRUE,262.1000061,A302111,Rail Corridor Pedestrian Safety Improvements Phase II,Town of Bernalillo,Safety,2021,Safety (HSIP),"57,078.00",0.00,"6,342.00","63,420.00",Federal Sp Prog 2
TRUE,262.1000061,A302111,Rail Corridor Pedestrian Safety Improvements Phase II,Town of Bernalillo,Safety,2021,Safety (HSIP),"328,061.00",0.00,"36,451.22","364,512.22",Federal Sp Prog 2
TRUE,262.1000061,A302111,Rail Corridor Pedestrian Safety Improvements Phase II,Town of Bernalillo,Safety,2021,Safety (HSIP),"2,279,894.00","253,321.56",0.00,"2,533,215.56",Federal Sp Prog 2
TRUE,314,A300191,NM 314 & Courthouse Rd Intersection Improvements,NMDOT D-3,Hwy & Brg Pres,2020,Safety (HSIP),"22,500.00","2,500.00",0.00,"25,000.00",Federal Sp Prog 2
TRUE,314,A300191,NM 314 & Courthouse Rd Intersection Improvements,NMDOT D-3,Hwy & Brg Pres,2020,Safety (HSIP),"29,546.00","3,282.89",0.00,"32,828.89",Federal Sp Prog 2
TRUE,314,A300191,NM 314 & Courthouse Rd Intersection Improvements,NMDOT D-3,Hwy & Brg Pres,2020,Safety (HSIP),"1,648,954.00","183,217.11",0.00,"1,832,171.11",Federal Sp Prog 2
TRUE,314,A300191,NM 314 & Courthouse Rd Intersection Improvements,NMDOT D-3,Hwy & Brg Pres,2021,Safety (HSIP),"1,539,000.00","171,000.00",0.00,"1,710,000.00",Federal Sp Prog 2
TRUE,681,A301700,Delgado Avenue Roadway & Pedestrian Improvements,City of Belen,Safety,2020,Safety (HSIP),"90,000.00","10,000.00",0.00,"100,000.00",Federal Sp Prog 2
TRUE,681,A301700,Delgado Avenue Roadway & Pedestrian Improvements,City of Belen,Safety,2021,Safety (HSIP),"72,000.00","8,000.00",0.00,"80,000.00",Federal Sp Prog 2
TRUE,681,A301700,Delgado Avenue Roadway & Pedestrian Improvements,City of Belen,Safety,2021,Safety (HSIP),"578,000.70","64,222.30",0.00,"642,223.00",Federal Sp Prog 2
TRUE,258.1000061,A302151,4th St Revitalization Phase 2,Village of Los Ranchos de Albuquerque,Bike/Ped,2021,Severance Tax,0.00,0.00,0.00,0.00,State
TRUE,24.29999924,A301032,Alameda Drain/2nd Street Bike/Ped Trail Ph 3,City of Albuquerque-P&R,Bike/Ped,2021,State Capital Outlay,0.00,"200,000.00",0.00,"200,000.00",State
TRUE,70.09999847,A301570,NM 347 Paseo del Volcan ROW Acquisition,NMDOT ROW Bureau,Capacity Proj,2021,State Capital Outlay,0.00,"1,943,639.00",0.00,"1,943,639.00",State
TRUE,82,A301088,"NM 314, NM 45 & NM 317 Intersection Improvements & Realignment",Pueblo of Isleta,Safety,2021,State Capital Outlay,0.00,"146,015.00",0.00,"146,015.00",State
TRUE,82,A301088,"NM 314, NM 45 & NM 317 Intersection Improvements & Realignment",Pueblo of Isleta,Safety,2022,State Capital Outlay,0.00,"100,000.00",0.00,"100,000.00",State
TRUE,82,A301088,"NM 314, NM 45 & NM 317 Intersection Improvements & Realignment",Pueblo of Isleta,Safety,2022,State Capital Outlay,0.00,"700,000.00",0.00,"700,000.00",State
TRUE,147.1000061,A301242,NM 47 Safety Improvements,Pueblo of Isleta,Safety,2021,State Capital Outlay,0.00,"1,270,399.00",0.00,"1,270,399.00",State
TRUE,147.1000061,A301242,NM 47 Safety Improvements,Pueblo of Isleta,Safety,2022,State Capital Outlay,0.00,"295,693.00",0.00,"295,693.00",State
TRUE,250.6000061,A301901,I-25 Improved: Comanche to Montgomery,NMDOT CRDC,Hwy & Brg Pres,2023,State Capital Outlay,0.00,"22,487,632.00",0.00,"22,487,632.00",State
TRUE,251.1999969,A301102,"Balloon Fiesta Parkway I-25 Access Study, IACR,and Construction",City of Albuquerque-DMD,TDM,2021,State Capital Outlay,0.00,"2,000,000.00",0.00,"2,000,000.00",State
TRUE,257.2000122,A302181,New Project,County of Bernalillo,Capacity Proj,2022,State Capital Outlay,0.00,0.00,0.00,0.00,State
TRUE,368.5,A300271,McMahon Widening,City of Albuquerque-DMD,Capacity Proj,2021,State Capital Outlay,0.00,"900,000.00",0.00,"900,000.00",State
TRUE,465.2999878,A300304,Unser Blvd Gap Widening Phase 2,City of Albuquerque-DMD,Capacity Proj,2020,State Capital Outlay,0.00,"247,097.00",0.00,"247,097.00",State
TRUE,511.3999939,A300622,Isleta Blvd. Reconstruction,County of Bernalillo,Hwy & Brg Pres,2022,State Capital Outlay,0.00,0.00,0.00,0.00,State
TRUE,585.4000244,A300261,Paseo del Norte Widening,City of Albuquerque-DMD,Capacity Proj,2021,State Capital Outlay,0.00,"2,050,000.00",0.00,"2,050,000.00",State
TRUE,585.4000244,A300261,Paseo del Norte Widening,City of Albuquerque-DMD,Capacity Proj,2021,State Capital Outlay,0.00,"4,418,000.00",0.00,"4,418,000.00",State
TRUE,82,A301088,"NM 314, NM 45 & NM 317 Intersection Improvements & Realignment",Pueblo of Isleta,Safety,2021,State Funds,0.00,"10,000.00",0.00,"10,000.00",State
TRUE,91.09999847,A301890,Interstate 25 / Gibson Blvd. Interchange Reconstruction (design and ROW),NMDOT CRDC,Hwy & Brg Pres,2022,State Funds,0.00,"8,000,000.00",0.00,"8,000,000.00",State
TRUE,250.6000061,A301901,I-25 Improved: Comanche to Montgomery,NMDOT CRDC,Hwy & Brg Pres,2022,State Funds,0.00,"28,278,943.00",0.00,"28,278,943.00",State
TRUE,258.1000061,A302151,4th St Revitalization Phase 2,Village of Los Ranchos de Albuquerque,Bike/Ped,2020,State Funds,0.00,"482,687.00",0.00,"482,687.00",State
TRUE,652.5,M300750,I-40 and I-25 Interchange Mill and Inlay,NMDOT D-3,Hwy & Brg Pres,2020,State Funds,0.00,"7,388,333.00",0.00,"7,388,333.00",State
TRUE,727,TA00480,Rio Metro RTD Discounted Fare Pilot Project,Rio Metro Transit Dist,Transit,2020,State Funds,0.00,"181,008.35",0.00,"181,008.35",State
TRUE,7.300000191,A300483,NM 333 Pedestrian Improvements Phase II,Village of Tijeras,Bike/Ped,2021,STL-E,"85,440.00",0.00,"14,560.00","100,000.00",Federal Hwy
TRUE,24.20000076,A301031,Alameda DrainTrail Phase 2,County of Bernalillo,Bike/Ped,2020,STL-E,"116,724.00",0.00,"19,891.16","136,615.16",Federal Hwy
TRUE,24.20000076,A301031,Alameda DrainTrail Phase 2,County of Bernalillo,Bike/Ped,2021,STL-E,"116,724.00",0.00,"19,891.16","136,615.16",Federal Hwy
TRUE,250.6000061,A301901,I-25 Improved: Comanche to Montgomery,NMDOT CRDC,Hwy & Brg Pres,2021,STL-E,"2,540,443.00","432,921.85",0.00,"2,973,364.85",Federal Hwy
TRUE,386.6000061,A301235,US 550 bridge rehab,NMDOT D-3,Hwy & Brg Pres,2021,STL-E,"1,765,320.00","300,831.63",0.00,"2,066,151.63",Federal Hwy
TRUE,437,A300160,Sunport Blvd Extension,County of Bernalillo,Capacity Proj,2020,STL-E,"2,962,216.00",0.00,"504,797.01","3,467,013.01",Federal Hwy
TRUE,493.3999939,A300381,NM 528 Rio Rancho Blvd Improvements (Upper Section),NMDOT CRDC,Capacity Proj,2020,STL-E,"380,979.00","64,923.37",0.00,"445,902.37",Federal Hwy
TRUE,613.0999756,A300201,Idalia Rd Project,City of Rio Rancho,Misc,2021,STL-E,"581,882.00",0.00,"99,159.65","681,041.65",Federal Hwy
TRUE,683,A300849,Albuquerque Complete Streets: West,City of Albuquerque-DMD,Misc,2022,STL-E,"1,441,916.00",0.00,"245,719.72","1,687,635.72",Federal Hwy
TRUE,865.0999756,A300161,Woodward Road Improvements Project,County of Bernalillo,Hwy & Brg Pres,2021,STL-E,"1,441,944.00",0.00,"245,724.49","1,687,668.49",Federal Hwy
TRUE,3.5,A300605,Orthophotography,NMDOT D-3,Misc,2020,STP-Flex,"42,720.00","7,280.00",0.00,"50,000.00",Federal Hwy
TRUE,3.599999905,A300606,Orthophotography,NMDOT D-3,Misc,2022,STP-Flex,"42,720.00","7,280.00",0.00,"50,000.00",Federal Hwy
TRUE,3.700000048,A300607,Orthophotography,NMDOT D-3,Misc,2024,STP-Flex,"42,720.00",0.00,"7,280.00","50,000.00",Federal Hwy
TRUE,6.900000095,A301122,I-25 & NM6 Median Erosion Mitigation,Village of Los Lunas,Misc,2021,STP-Flex,"158,772.00",0.00,"27,056.65","185,828.65",Federal Hwy
TRUE,91.19999695,A301891,I-25 / Gibson Blvd. Interchange Reconstruction,NMDOT CRDC,Capacity Proj,2025,STP-Flex,"234,471.00","39,956.66",0.00,"274,427.66",Federal Hwy
